wavenumber,n1,n2,n3
1511.9,1.2362,1.3858,1.6034
1513.9,1.2372,1.3873,1.605
1515.8,1.2382,1.3889,1.6066
1517.7,1.2392,1.3904,1.6081
1519.7,1.2403,1.3919,1.6097
1521.6,1.2412,1.3933,1.6113
1523.5,1.2422,1.3948,1.6128
1525.4,1.2432,1.3963,1.6143
1527.4,1.2442,1.3977,1.6159
1529.3,1.2451,1.3992,1.6174
1531.2,1.2461,1.4006,1.6189
1533.2,1.247,1.402,1.6204
1535.1,1.248,1.4034,1.6218
1537,1.2489,1.4048,1.6233
1538.9,1.2498,1.4061,1.6248
1540.9,1.2507,1.4075,1.6262
1542.8,1.2516,1.4089,1.6276
1544.7,1.2525,1.4102,1.6291
1546.7,1.2534,1.4115,1.6305
1548.6,1.2543,1.4129,1.6319
1550.5,1.2551,1.4142,1.6333
1552.4,1.256,1.4155,1.6346
1554.4,1.2569,1.4168,1.636
1556.3,1.2577,1.418,1.6374
1558.2,1.2586,1.4193,1.6387
1560.2,1.2594,1.4206,1.6401
1562.1,1.2602,1.4218,1.6414
1564,1.261,1.4231,1.6427
1565.9,1.2619,1.4243,1.6441
1567.9,1.2627,1.4255,1.6454
1569.8,1.2635,1.4267,1.6467
1571.7,1.2643,1.4279,1.648
1573.7,1.265,1.4291,1.6492
1575.6,1.2658,1.4303,1.6505
1577.5,1.2666,1.4315,1.6518
1579.4,1.2674,1.4327,1.653
1581.4,1.2681,1.4338,1.6543
1583.3,1.2689,1.435,1.6555
1585.2,1.2696,1.4361,1.6567
1587.2,1.2704,1.4372,1.6579
1589.1,1.2711,1.4384,1.6592
1591,1.2719,1.4395,1.6604
1592.9,1.2726,1.4406,1.6616
1594.9,1.2733,1.4417,1.6627
1596.8,1.274,1.4428,1.6639
1598.7,1.2748,1.4439,1.6651
1600.7,1.2755,1.4449,1.6663
1602.6,1.2762,1.446,1.6674
1604.5,1.2769,1.4471,1.6686
1606.4,1.2775,1.4481,1.6697
1608.4,1.2782,1.4492,1.6709
1610.3,1.2789,1.4502,1.672
1612.2,1.2796,1.4513,1.6731
1614.2,1.2803,1.4523,1.6742
1616.1,1.2809,1.4533,1.6753
1618,1.2816,1.4543,1.6764
1619.9,1.2822,1.4553,1.6775
1621.9,1.2829,1.4563,1.6786
1623.8,1.2835,1.4573,1.6797
1625.7,1.2842,1.4583,1.6807
1627.7,1.2848,1.4593,1.6818
1629.6,1.2855,1.4602,1.6829
1631.5,1.2861,1.4612,1.6839
