wavenumber,k1,k2,k3
925.68,0.75911,1.9335,1.4614
927.61,0.79,1.9716,1.5237
929.54,0.81588,2.0081,1.6064
931.46,0.83903,2.0403,1.7118
933.39,0.86142,2.0657,1.8394
935.32,0.88415,2.0832,1.9845
937.25,0.90745,2.0936,2.1367
939.18,0.93113,2.0985,2.2799
941.11,0.9552,2.099,2.3954
943.04,0.98033,2.0953,2.4688
944.96,1.0077,2.0858,2.4954
946.89,1.0384,2.0687,2.4816
948.82,1.0728,2.0422,2.4415
950.75,1.1099,2.0063,2.3915
952.68,1.1467,1.9636,2.3455
954.61,1.1791,1.9191,2.313
956.53,1.2031,1.8785,2.298
958.46,1.2168,1.8466,2.2998
960.39,1.2212,1.8255,2.3137
962.32,1.2197,1.8146,2.3343
964.25,1.2162,1.8109,2.357
966.18,1.2136,1.8109,2.3794
968.11,1.2134,1.8119,2.4008
970.03,1.2155,1.8127,2.4212
971.96,1.2192,1.8133,2.4406
973.89,1.2232,1.8148,2.4582
975.82,1.2264,1.8184,2.473
977.75,1.2281,1.8251,2.4833
979.68,1.2277,1.8353,2.4879
981.61,1.2248,1.8488,2.4855
983.53,1.2195,1.8646,2.4757
985.46,1.2117,1.8808,2.4582
987.39,1.2017,1.8956,2.4334
989.32,1.1901,1.9066,2.4019
991.25,1.1772,1.9122,2.3647
993.18,1.1634,1.9115,2.3226
995.1,1.1493,1.9043,2.277
997.03,1.1348,1.8912,2.229
998.96,1.1203,1.873,2.1801
1000.9,1.1056,1.8503,2.1315
1002.8,1.091,1.8241,2.0846
1004.7,1.0765,1.7948,2.0404
1006.7,1.0623,1.7631,1.9997
1008.6,1.0485,1.7295,1.9632
1010.5,1.0349,1.6943,1.9314
1012.5,1.0213,1.6581,1.9051
1014.4,1.0074,1.6212,1.8848
1016.3,0.99242,1.5836,1.8711
1018.2,0.97601,1.5457,1.8643
1020.2,0.95789,1.5076,1.8644
1022.1,0.93805,1.4694,1.8706
1024,0.91681,1.4311,1.882
1026,0.89461,1.393,1.8969
1027.9,0.87204,1.3549,1.9137
1029.8,0.84966,1.317,1.9305
1031.7,0.82805,1.2794,1.9457
1033.7,0.80768,1.242,1.9576
1035.6,0.78899,1.205,1.9651
1037.5,0.77233,1.1684,1.9671
1039.5,0.75798,1.1322,1.9634
1041.4,0.74617,1.0965,1.9536
1043.3,0.73709,1.0615,1.9381
1045.2,0.73089,1.0271,1.9172
1047.2,0.72767,0.9935,1.8916
1049.1,0.72755,0.96074,1.8618
1051,0.73063,0.92897,1.8287
1053,0.73701,0.89828,1.7931
1054.9,0.74681,0.86876,1.7555
1056.8,0.76016,0.84053,1.7169
1058.7,0.77718,0.81369,1.6779
1060.7,0.79805,0.78831,1.6393
1062.6,0.82294,0.76441,1.6017
1064.5,0.85203,0.74202,1.5659
1066.5,0.88548,0.72114,1.5327
1068.4,0.92348,0.7017,1.5027
1070.3,0.96621,0.68361,1.4765
1072.2,1.0138,0.66683,1.4546
1074.2,1.0662,0.65129,1.4373
1076.1,1.1234,0.63693,1.4247
1078,1.1853,0.6237,1.4164
1080,1.2517,0.61161,1.4117
1081.9,1.3221,0.60062,1.4096
1083.8,1.3958,0.59073,1.4085
